model_name,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
mobilenet_v2,0.7742222222222223,0.776184170741854,0.7742222222222223,0.7697625134884875,0.7697625134884873
densenet121,0.7724444444444445,0.7795001751774077,0.7724444444444443,0.7668305778891368,0.766830577889137
resnet50,0.7395555555555555,0.7419892022515723,0.7395555555555556,0.735156092982754,0.7351560929827541
efficientnet_b0,0.6951111111111111,0.6974387905529558,0.695111111111111,0.6851877482093759,0.685187748209376
